
Mã	
Mua	Bán	
Khối lượng giao dịch ròng	
Giá trị giao dịch ròng	
Room còn lại	
Đang sở hữu	
Khối lượng	
Giá trị	
Khối lượng	
Giá trị	
DBD	400 	18,000,000 	0 	0 	400 	18,000,000 	52,333,270 	0.09% 
SHA	300 	1,737,000 	0 	0 	300 	1,737,000 	15,472,559 	0.43% 
STK	400 	12,830,000 	200 	6,450,000 	200 	6,380,000 	27,483,369 	10.14% 
TAC	400 	22,830,000 	200 	11,500,000 	200 	11,330,000 	15,506,790 	3.23% 
FUCVREIT	100 	1,590,000 	0 	0 	100 	1,590,000 	2,422,510 	0.55% 
CLC	100 	3,680,000 	0 	0 	100 	3,680,000 	12,293,449 	2.09% 
HTI	100 	1,630,000 	0 	0 	100 	1,630,000 	8,412,878 	15.28% 
FTM	100 	268,000 	0 	0 	100 	268,000 	24,298,870 	0.40% 
VNS	100 	985,000 	0 	0 	100 	985,000 	19,760,163 	19.88% 
PTC	0 	0 	0 	0 	0 	0 	8,767,185 	0.29% 
VDP	0 	0 	0 	0 	0 	0 	7,841,299 	0.31% 
PTL	0 	0 	0 	0 	0 	0 	48,907,956 	0.09% 
NVT	0 	0 	0 	0 	0 	0 	90,397,980 	0.11% 
PXI	0 	0 	0 	0 	0 	0 	14,419,790 	0.93% 
VTB	0 	0 	0 	0 	0 	0 	5,687,870 	1.53% 
NHA	0 	0 	0 	0 	0 	0 	11,736,872 	0.39% 
VCG	0 	0 	0 	0 	0 	0 	212,568,234 	0.88% 
VCF	0 	0 	0 	0 	0 	0 	12,858,758 	0.62% 
VSI	0 	0 	0 	0 	0 	0 	6,384,140 	0.64% 
PSH	0 	0 	0 	0 	0 	0 	61,837,722 	 
VNL	0 	0 	0 	0 	0 	0 	3,732,290 	7.53% 
PME	0 	0 	0 	0 	0 	0 	7,813,723 	89.58% 
PDN	0 	0 	0 	0 	0 	0 	8,978,243 	0.53% 
PGI	0 	0 	0 	0 	0 	0 	25,110,533 	20.70% 
PIT	0 	0 	0 	0 	0 	0 	7,337,624 	0.72% 
VMD	0 	0 	0 	0 	0 	0 	7,328,550 	1.54% 
YBM	0 	0 	0 	0 	0 	0 	6,991,014 	0.11% 
VTO	0 	0 	0 	0 	0 	0 	37,612,038 	1.91% 
PJT	0 	0 	0 	0 	0 	0 	7,172,211 	2.31% 
PAC	0 	0 	0 	0 	0 	0 	16,689,201 	13.09% 
OPC	0 	0 	0 	0 	0 	0 	11,686,578 	5.03% 
VPD	0 	0 	0 	0 	0 	0 	52,185,483 	0.04% 
VID	0 	0 	0 	0 	0 	0 	15,010,636 	0.39% 
PMG	0 	0 	0 	0 	0 	0 	11,013,370 	27.73% 
PNC	0 	0 	0 	0 	0 	0 	5,321,277 	0.80% 
SVC	0 	0 	0 	0 	0 	0 	15,675,923 	1.95% 
TMT	0 	0 	0 	0 	0 	0 	17,357,273 	2.35% 
TMS	0 	0 	0 	0 	0 	0 	1,020 	49.00% 
SVT	0 	0 	0 	0 	0 	0 	5,673,225 	0.01% 
SVI	0 	0 	0 	0 	0 	0 	672,632 	94.76% 
STG	0 	0 	0 	0 	0 	0 	48,082,560 	0.06% 
TNC	0 	0 	0 	0 	0 	0 	9,021,290 	2.14% 
SRF	0 	0 	0 	0 	0 	0 	680,006 	46.91% 
SSB	0 	0 	0 	0 	0 	0 	 	30.00% 
ST8	0 	0 	0 	0 	0 	0 	 	49.00% 
TN1	0 	0 	0 	0 	0 	0 	10,470,581 	4.13% 
TDP	0 	0 	0 	0 	0 	0 	26,317,128 	0.05% 
TIX	0 	0 	0 	0 	0 	0 	14,668,296 	0.11% 
TDW	0 	0 	0 	0 	0 	0 	3,946,720 	2.57% 
THG	0 	0 	0 	0 	0 	0 	6,728,294 	2.66% 
TEG	0 	0 	0 	0 	0 	0 	15,810,667 	0.18% 
TCT	0 	0 	0 	0 	0 	0 	4,467,220 	14.07% 
TCB	1,041,400 	55,923,180,000 	1,041,400 	55,923,180,000 	0 	0 	80 	22.49% 
SZL	0 	0 	0 	0 	0 	0 	6,230,700 	17.85% 
TCD	0 	0 	0 	0 	0 	0 	37,922,019 	2.92% 
TCR	0 	0 	0 	0 	0 	0 	4,011 	48.96% 
TCO	0 	0 	0 	0 	0 	0 	8,734,818 	2.32% 
SCD	0 	0 	0 	0 	0 	0 	3,512,840 	7.67% 
TTE	0 	0 	0 	0 	0 	0 	14,529,634 	0.00% 
SCR	0 	0 	0 	0 	0 	0 	176,527,247 	0.82% 
SFG	0 	0 	0 	0 	0 	0 	23,110,022 	0.75% 
SFC	0 	0 	0 	0 	0 	0 	5,440,243 	0.82% 
TVT	0 	0 	0 	0 	0 	0 	10,249,690 	0.19% 
RIC	0 	0 	0 	0 	0 	0 	4,955,918 	31.74% 
QCG	0 	0 	0 	0 	0 	0 	133,337,768 	0.54% 
VAF	0 	0 	0 	0 	0 	0 	18,455,885 	0.00% 
SBA	0 	0 	0 	0 	0 	0 	29,595,167 	0.07% 
SAV	0 	0 	0 	0 	0 	0 	832,703 	43.30% 
SII	0 	0 	0 	0 	0 	0 	29,383 	48.95% 
SHP	0 	0 	0 	0 	0 	0 	41,046,804 	5.20% 
