MaCK,SanCK,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,,,,
ATB,HASTC,-4.96,-0.3,-5099%,-12671%,3.41,13884000,13884000,0,0,22214400,102,0,54318,80668,134986,,,,
ATD,HASTC,0.25,38.4,56%,445%,0.00,1544300,1544300,0,0,14825281,0,0,8625,59728,68353,,,,
ATG,HASTC,-0.15,-10.0,-121%,-183%,0.69,15220000,15220000,0,7457800,22830000,0,0,121775,61451,183226,,,,
ATS,HASTC,-0.16,-210.0,-101%,-131%,-0.10,3500000,3500000,0,1715000,117599995,36614,0,41752,12181,53933,,,,
AUD-X,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
AUM,HASTC,-0.24,-43.8,-183%,-242%,0.00,1000000,1000000,0,0,10500000,16798,578,10089,3220,13309,,,,
AVC,HASTC,4.27,6.3,2179%,2386%,0.21,75052052,75052052,0,0,2026405404,683172,0,1343039,128052,1471091,,,,
AVF,HASTC,-2.39,-0.3,-19197%,528%,2.00,43338000,43338000,0,21171609,26002801,45086,0,-1960621,2014522,53901,,,,
B82,HASTC,0.13,7.7,14%,124%,0.00,5000000,5000000,0,2450000,5000000,105938,0,50628,411681,462309,,,,
BAB,HASTC,0.90,24.2,58%,743%,1.03,708500000,708500000,0,0,15445299459,9597746,635172,8547396,100261776,108809172,,,,
BAL,HASTC,-0.24,-37.9,-160%,-180%,1.03,2000000,2000000,0,0,18200001,99345,5017,27037,3481,30518,,,,
BAX,HASTC,17.88,3.7,1611%,5248%,1.15,8200000,8200000,0,0,537100000,318184,0,279372,630460,909833,,,,
BBC,HASTC,6.57,9.3,687%,913%,1.14,15321602,15371192,49590,7556183,940716962,1385461,0,1103191,361773,1464965,,,,
BBH,HASTC,0.00,0.0,6%,7%,0.59,2047932,2047932,0,0,16178663,0,0,80109,15728,95837,,,,
BBM,HASTC,1.40,7.9,724%,1066%,0.62,2000000,2000000,0,0,22000000,48980,-2331,26359,12459,38818,,,,
BBS,HASTC,1.18,9.0,182%,651%,0.71,6000000,6000000,0,2058000,63600002,505021,0,108636,280557,389193,,,,
BBT,HASTC,3.74,5.6,1532%,2066%,1.59,6840000,6840000,0,184460,144324003,64608,-13500,123867,43170,167037,,,,
BCB,HASTC,4.23,0.9,627%,2869%,0.40,5000000,5000000,0,0,18000000,82534,0,73666,263387,337053,,,,
BCC,HASTC,1.14,8.5,332%,665%,1.57,123209812,123209812,0,46874084,1195135153,4308896,140742,2117019,2122363,4239382,,,,
BCE,HOSE,1420.00,0.0,4%,10%,1.27,30000000,30000000,0,14700000,318000011,444687,0,417748,547148,964896,,,,
BCF,HASTC,3693.00,0.0,25%,33%,0.72,25300470,21083725,0,0,902383414,590071,20977,296207,92241,388448,,,,
BCG,HOSE,3.16,3.8,113%,694%,1.63,108005760,108005760,0,51452822,1306869737,2151700,331487,4777428,24444070,29221497,,,,
BCM,HOSE,1970.00,0.0,5%,13%,0.98,1035000000,1035000000,0,0,43107751579,6835471,2038712,17032817,29332355,46365172,,,,
BCP,HASTC,-0.30,-37.3,-1663%,-2502%,0.54,38320000,38320000,0,1962100,429183993,48820,1375,53622,14968,68590,,,,
BCV,HASTC,-1.04,-20.7,-863%,-1314%,0.00,1800000,1800000,0,0,38700000,3755433,21559,2353028,5781510,8134539,,,,
BDB,HASTC,1.22,8.7,742%,1092%,-0.01,1126474,1126474,0,551972,11940625,62608,0,12537,5904,18441,,,,
BDG,HASTC,7.18,6.0,1438%,2912%,1.13,12000000,12000000,0,5880000,517199982,1184954,86115,295766,303138,598904,,,,
BDT,HASTC,2.63,9.9,877%,1785%,1.24,38600000,38600000,0,0,1003600000,606348,0,568079,588420,1156499,,,,
BDW,HASTC,2.01,7.6,641%,1407%,0.70,12410800,12410800,0,6075475,189885242,218086,0,177302,212153,389456,,,,
BED,HASTC,2.22,18.1,1165%,1582%,0.08,3000000,3000000,0,1470000,120600002,77884,0,42076,15064,57140,,,,
BEL,HASTC,0.88,14.3,698%,805%,0.41,6000000,6000000,0,2940000,75600002,27738,0,65441,10022,75463,,,,
BFC,HOSE,3.82,7.2,589%,1457%,1.43,47639993,47639993,0,23343600,1305335790,6421920,182120,1250263,1842658,3092921,,,,
BGW,HASTC,0.53,34.0,452%,505%,-0.06,18149446,18149446,0,0,326690028,148889,0,191687,22595,214282,,,,
BHA,HASTC,1.28,8.0,467%,1270%,0.76,66000000,66000000,0,0,679800013,314705,0,664066,1140329,1804395,,,,
BHC,HASTC,0.24,9.2,215%,-139%,0.76,4500000,4500000,0,2193600,9900000,192529,0,-78768,129699,50931,,,,
BHG,HASTC,0.16,63.8,42%,68%,0.29,3856665,3856665,0,0,39337982,26971,0,93011,58848,151858,,,,
BHK,HASTC,1.47,7.1,723%,1114%,0.94,3986000,3986000,0,0,41853000,0,0,48724,59590,108314,,,,
BHN,HOSE,3.68,14.1,1302%,1668%,1.00,231800000,231800000,0,0,12030420354,8135631,853708,5118495,1439336,6557831,,,,
BHP,HASTC,0.29,21.4,122%,172%,2.91,9179290,9179290,0,4497852,56911596,301508,11950,155653,63090,218743,,,,
BHT,HASTC,-1.46,-9.2,-417%,3078%,0.73,4600000,4565000,0,2254000,61627500,218,0,-21821,182745,160924,,,,
BIC,HOSE,2.56,9.0,504%,1204%,1.08,117276895,117276895,0,57465678,2709096319,2734237,302936,2493119,3457204,5950324,,,,
BID,HOSE,2.03,19.8,54%,1028%,1.35,4160245514,4160245514,0,1025614600,167241872837,98446003,8662994,82263294,1476624113,1558887407,,,,
BII,HASTC,1.57,5.5,863%,1589%,3.11,57680000,57680000,0,28263200,496048022,97133,90537,569811,479086,1048897,,,,
BIO,HASTC,0.60,116.3,490%,548%,1.70,8562000,8562000,0,0,597627626,0,0,92923,11043,103966,,,,
BKC,HASTC,-3.18,-1.6,-967%,-3052%,1.02,11345328,11541528,196200,5751486,60015943,206047,0,118178,254775,372953,,,,
BKG,HOSE,0.62,16.5,442%,527%,0.92,32000000,32000000,0,0,328000000,300808,26348,383402,66896,450298,,,,
BKH,HASTC,2.66,8.0,605%,950%,1.43,1750000,1750000,0,0,37274999,0,0,48916,27887,76803,,,,
BLF,HASTC,-0.48,-6.7,-106%,-356%,0.14,11500000,11500000,0,5145000,36800001,474251,0,155983,367757,523740,,,,
BLI,HASTC,0.99,13.0,311%,912%,1.55,68800000,68800000,0,24489645,887519974,1367729,68118,747277,1440542,2187819,,,,
BLN,HASTC,0.06,208.3,13%,52%,0.71,5000000,5000000,0,0,62500000,0,0,54308,165471,219779,,,,
BLT,HASTC,0.00,0.0,8%,10%,0.32,4000000,4000000,0,0,100000000,0,0,166575,27358,193933,,,,
BLU,HASTC,,0.0,0%,0%,0.00,1337600,1337600,0,0,13376000,0,0,,,,,,,
BLW,HASTC,0.79,21.6,678%,725%,-0.24,11168800,11168800,0,0,190986484,57849,8749,121655,8438,130092,,,,
BMC,HOSE,1.09,12.8,496%,663%,1.47,12392630,12392630,0,6072388,173496820,205729,0,203567,68808,272375,,,,
BMD,HASTC,2.68,1.9,760%,1996%,0.58,2753280,2753280,0,0,13766400,34495,1096,32705,53248,85953,,,,
BMF,HASTC,4.14,4.9,954%,1308%,1.63,4159600,4159600,0,0,84023923,1042493,6734,118799,51284,170083,,,,
