MaCK,SanCK,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,,,,
CAN,HASTC,2.88,13.4,404%,1128%,1.18,5000000,5000000,0,2450000,192500000,723189,0,127764,229228,356992,,,,
CAP,HASTC,9.08,7.2,2172%,5158%,0.71,5236023,5236023,0,2332443,342959506,449552,0,92125,126604,218730,,,,
CAT,HASTC,4.83,4.8,1446%,3459%,1.62,9748579,9748579,0,0,224217317,1247073,1424,135992,189320,325312,,,,
CAV,HASTC,12.76,4.5,534%,2238%,0.81,28800000,28800000,0,14112000,1670400000,12347778,0,1642199,5243792,6885991,,,,
CBC,HASTC,0.08,121.3,41%,77%,0.00,11882400,11882400,0,0,115259278,5963,0,117294,103897,221191,,,,
CBI,HASTC,2.98,7.5,666%,8104%,1.43,43006366,43006366,0,0,963342582,2237697,0,158154,1765052,1923206,,,,
CBS,HASTC,-8.15,-1.3,-1512%,-5310%,-0.03,3527925,3527925,0,0,35984834,0,0,82910,81897,164808,,,,
CC1,HASTC,0.93,23.7,111%,551%,1.81,110000000,110000000,0,0,2420000000,6910226,101821,1846482,7321908,9168390,,,,
CC4,HASTC,0.23,60.9,39%,101%,2.43,16000000,16000000,0,0,224000000,165897,0,370172,536204,906375,,,,
CCA,HASTC,0.38,26.3,75%,264%,1.04,15092326,15092326,0,0,150923260,726095,0,216841,543745,760586,,,,
CCH,HASTC,0.12,32.5,28%,96%,0.00,1000000,1000000,0,0,3900000,0,0,11975,29506,41481,,,,
CCI,HOSE,1.77,10.2,455%,1199%,1.32,17338345,17541105,202760,8694493,315739890,284822,0,256604,419517,676121,,,,
CCL,HOSE,1.53,7.8,600%,1236%,1.66,47499885,47499885,0,17394943,569998620,959935,72530,586680,622264,1208944,,,,
CCM,HASTC,12.05,3.2,1303%,2075%,2.41,6199900,6199900,0,2254000,236216181,1009997,0,360118,213679,573797,,,,
CCP,HASTC,0.01,630.0,5%,7%,2.13,2400000,2400000,0,0,15120000,82886,293,33022,13022,46044,,,,
CCR,HASTC,1.11,21.7,789%,938%,1.79,24501817,24501817,0,12005890,590493799,148007,27126,289111,54885,343995,,,,
CCT,HASTC,0.06,166.7,46%,64%,-0.23,28480000,28480000,0,0,284800000,112829,0,262629,102724,365354,,,,
CCV,HASTC,6.69,3.3,473%,2803%,-0.13,1800000,1800000,0,0,39600000,0,0,42983,211990,254972,,,,
CDC,HOSE,1.12,12.1,299%,968%,1.24,21988719,21988719,0,7696138,296847706,292425,0,255161,571516,826677,,,,
CDG,HASTC,1.32,2.4,795%,978%,0.32,3464995,3464995,0,0,11087984,32373,2374,47756,10958,58714,,,,
CDH,HASTC,1.74,1.8,500%,896%,-0.13,2000000,2000000,0,980000,6200000,0,0,38865,30686,69551,,,,
CDN,HASTC,2.16,12.6,1232%,1458%,1.37,99000000,99000000,0,32143700,2692800076,945155,0,1466024,269377,1735401,,,,
