<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
000001.SS,20180417,3112.9800,3118.7600,3064.0300,3066.8000,147200,3112.9800,3118.7600,3064.0300,3066.8000,0,0,0
000001.SS,20180416,3152.8899,3153.1101,3096.1001,3110.6499,154400,3152.8899,3153.1101,3096.1001,3110.6499,0,0,0
000001.SS,20180413,3192.0400,3197.8999,3155.5100,3159.0500,127600,3192.0400,3197.8999,3155.5100,3159.0500,0,0,0
000001.SS,20180412,3203.2800,3205.2500,3177.0500,3180.1599,148200,3203.2800,3205.2500,3177.0500,3180.1599,0,0,0
000001.SS,20180411,3197.3701,3220.8401,3191.5901,3208.0801,175900,3197.3701,3220.8401,3191.5901,3208.0801,0,0,0
000001.SS,20180410,3144.2600,3190.6499,3139.0801,3190.3201,168200,3144.2600,3190.6499,3139.0801,3190.3201,0,0,0
000001.SS,20180409,3125.4399,3146.0901,3110.3000,3138.2900,139600,3125.4399,3146.0901,3110.3000,3138.2900,0,0,0
000001.SS,20180404,3147.0500,3163.3401,3128.8701,3131.1101,147000,3147.0500,3163.3401,3128.8701,3131.1101,0,0,0
000001.SS,20180403,3130.0100,3144.3301,3119.1299,3136.6299,152200,3130.0100,3144.3301,3119.1299,3136.6299,0,0,0
000001.SS,20180402,3169.7800,3192.3401,3159.9900,3163.1799,177700,3169.7800,3192.3401,3159.9900,3163.1799,0,0,0
000001.SS,20180330,3161.7900,3177.7200,3152.8899,3168.8999,154600,3161.7900,3177.7200,3152.8899,3168.8999,0,0,0
000001.SS,20180329,3127.2600,3174.5100,3098.2500,3160.5300,170300,3127.2600,3174.5100,3098.2500,3160.5300,0,0,0
000001.SS,20180328,3130.5701,3165.2100,3117.5300,3122.2900,163500,3130.5701,3165.2100,3117.5300,3122.2900,0,0,0
000001.SS,20180327,3164.8000,3172.7800,3143.5701,3166.6499,189100,3164.8000,3172.7800,3143.5701,3166.6499,0,0,0
