"jurisdiction","week_of_allocations","_1st_dose_allocations","_2nd_dose_allocations"
"Indiana","2021-04-05T00:00:00.000","88920","88920"
"Michigan","2021-04-05T00:00:00.000","135720","135720"
"Minnesota","2021-04-05T00:00:00.000","74880","74880"
"Ohio","2021-04-05T00:00:00.000","157950","157950"
"Wisconsin","2021-04-05T00:00:00.000","79560","79560"
"Arkansas","2021-04-05T00:00:00.000","39780","39780"
"Louisiana","2021-04-05T00:00:00.000","62010","62010"
"New Mexico","2021-04-05T00:00:00.000","29250","29250"
"Oklahoma","2021-04-05T00:00:00.000","52650","52650"
"Texas","2021-04-05T00:00:00.000","359190","359190"
"Iowa","2021-04-05T00:00:00.000","42120","42120"
"Kansas","2021-04-05T00:00:00.000","38610","38610"
"Missouri","2021-04-05T00:00:00.000","83070","83070"
