
Mã

Dư mua
Dư bán
Giá
Thay đổi
Số lệnh đặt mua
Khối lượng đặt mua
KLTB
1 lệnh mua
Số lệnh đặt bán
Khối lượng đặt bán
KLTB
1 lệnh bán
Chênh lệch KL đặt mua - đặt bán
PGC	18,900 	45,500 	16.40 	-0.20 (-1.2 %)     	69 	45,100 	654	69 	71,700 	1,039	-26,600
PGD	88,400 	3,400 	28.00 	0.10 (0.4 %)     	25 	91,100 	3,644	17 	6,100 	359	85,000
PGI	20,500 	15,200 	20.10 	0.00 (0.0 %)     	9 	28,400 	3,156	12 	23,100 	1,925	5,300
PHC	238,100 	200,700 	15.50 	0.05 (0.3 %)     	225 	738,500 	3,282	128 	701,100 	5,477	37,400
PHR	533,600 	927,400 	51.50 	1.10 (2.2 %)     	840 	1,070,700 	1,275	846 	1,464,500 	1,731	-393,800
PIT	8,100 	14,900 	5.89 	-0.01 (-0.2 %)     	18 	18,900 	1,050	23 	25,700 	1,117	-6,800
PJT	2,100 	8,900 	12.15 	0.00 (0.0 %)     	4 	2,100 	525	6 	8,900 	1,483	-6,800
PLP	212,300 	267,400 	9.20 	0.01 (0.1 %)     	231 	761,000 	3,294	199 	816,100 	4,101	-55,100
PLX	8,046,000 	1,148,800 	57.40 	3.00 (5.5 %)     	1,255 	10,294,400 	8,203	1,746 	3,397,200 	1,946	6,897,200
PME	3,600 	8,100 	79.00 	0.10 (0.1 %)     	10 	5,100 	510	23 	9,600 	417	-4,500
PMG	1,500 	18,300 	22.50 	-0.50 (-2.2 %)     	14 	3,100 	221	26 	19,900 	765	-16,800
PNC	4,400 	7,500 	9.50 	-0.10 (-1.0 %)     	13 	16,700 	1,285	14 	19,800 	1,414	-3,100
PNJ	363,700 	971,600 	101.80 	2.50 (2.5 %)     	1,187 	1,065,100 	897	1,403 	1,673,000 	1,192	-607,900
POM	753,300 	539,200 	17.50 	-0.40 (-2.2 %)     	992 	1,306,900 	1,317	602 	1,092,800 	1,815	214,100
POW	14,007,200 	14,115,700 	11.70 	0.25 (2.2 %)     	8,509 	24,080,400 	2,830	7,076 	24,188,900 	3,418	-108,500
PPC	284,300 	125,400 	23.60 	0.40 (1.7 %)     	399 	408,400 	1,024	189 	249,500 	1,320	158,900
PSH	228,800 	641,700 	25.80 	1.00 (4.0 %)     	203 	1,271,300 	6,263	204 	1,684,200 	8,256	-412,900
PTB	362,800 	336,600 	88.10 	3.60 (4.3 %)     	807 	699,400 	867	581 	673,200 	1,159	26,200
PTC	7,100 	1,000 	9.82 	0.64 (7.0 %)     	12 	7,600 	633	3 	1,500 	500	6,100
PTL	164,400 	20,300 	5.59 	-0.03 (-0.5 %)     	35 	170,200 	4,863	27 	26,100 	967	144,100
PVD	4,826,900 	5,603,600 	19.50 	0.15 (0.8 %)     	4,268 	10,015,100 	2,347	3,387 	10,791,800 	3,186	-776,700
PVT	3,727,400 	2,822,600 	16.60 	0.45 (2.8 %)     	1,762 	7,332,600 	4,162	2,348 	6,427,800 	2,738	904,800
PXI	39,800 	24,700 	3.60 	0.01 (0.3 %)     	49 	54,200 	1,106	35 	39,100 	1,117	15,100
